feature,importance
Price_in_Lakhs,0.9684486789613774
Price_per_SqFt,0.02376628643302141
Public_Transport_Accessibility,0.002291119538661779
Infrastructure_Score,0.002115995583461018
Age_of_Property,0.0006638575868249122
Year_Built,0.0006484328485766746
Availability_Status,0.0005196226316817301
Parking_Space,0.0002638980535921334
Security,0.0002523690110901941
Size_in_SqFt,0.00019745700010647297
Amenity_Count,0.00011945157175374757
Amenity_Density_Score,0.00011207799453199126
Nearby_Schools,4.8778129565865916e-05
Has_Playground,4.5540672772850695e-05
Has_Gym,4.440834078021136e-05
Has_Clubhouse,4.397355710772895e-05
Property_Type,4.119317972179399e-05
Has_Garden,3.995438772155774e-05
Has_Pool,3.9727834198810555e-05
Nearby_Hospitals,3.9674748570310644e-05
Owner_Type,3.800318475893659e-05
Furnished_Status,2.9345044104745783e-05
Facing,2.7342441289421126e-05
BHK,2.6171056654195235e-05
Locality,2.4842671507785836e-05
City,2.3854662000987e-05
State,2.3797919559538676e-05
Floor_Ratio,2.2091963905806978e-05
Floor_No,2.165046719896772e-05
Total_Floors,2.0402523901065355e-05
